code,name,price,pct_chg,volume,amount,turnover
688328,深科达,71.53,8.63,66543.0,463114682.0,7.04
688260,昀冢科技,108.62,8.62,76729.0,806115249.0,6.39
688056,莱伯泰科,40.78,8.6,14438.0,56530228.0,2.14
600641,先导基电,26.51,8.6,592981.0,1517225791.0,6.37
300672,国科微,145.27,8.57,92498.0,1295970837.63,4.4
600549,厦门钨业,53.59,8.53,770253.0,3978065548.0,4.96
002348,高乐股份,11.96,8.53,882412.0,1059938464.0,9.77
301413,安培龙,66.19,8.51,43385.0,276301951.43,5.68
300522,世名科技,13.02,8.5,160289.0,203239379.97,6.09
002409,雅克科技,140.46,8.48,264865.0,3581410422.02,8.32
688037,芯源微,299.1,8.48,53518.0,1540051980.0,2.65
300244,迪安诊断,19.91,8.44,401672.0,794829564.5,8.01
300868,杰美特,77.94,8.43,24759.0,186039123.08,3.07
603618,杭电股份,25.85,8.43,686044.0,1668784619.0,9.92
688125,安达智能,112.25,8.42,10618.0,114630816.0,1.29
688548,广钢气体,35.08,8.41,216908.0,737902933.0,3.14
688383,新益昌,105.72,8.4,16586.0,168142732.0,1.63
688584,上海合晶,27.52,8.39,159397.0,426432398.0,4.64
688372,伟测科技,121.26,8.38,75418.0,884126686.0,4.46
603125,常青科技,22.27,8.37,50958.0,110620911.0,1.26
301227,森鹰窗业,23.24,8.29,57336.0,128598488.12,7.76
001229,魅视科技,41.67,8.29,92630.0,372745190.6,12.56
002827,高争民爆,45.34,8.29,348408.0,1537218795.34,12.62
603650,彤程新材,58.22,8.22,141509.0,801315078.0,2.3
301489,思泉新材,96.8,8.22,44156.0,410126535.29,6.35
688720,艾森股份,58.75,8.2,53561.0,303757726.0,6.85
002167,东方锆业,16.66,8.18,872642.0,1418327527.41,11.5
688362,甬矽电子,60.12,8.17,239836.0,1394423699.0,5.29
600487,亨通光电,54.37,8.16,2299523.0,11764307666.0,9.37
002792,通宇通讯,31.09,8.14,567774.0,1758476780.13,16.81
603063,禾望电气,32.33,8.13,229604.0,724916141.0,4.97
688218,江苏北人,37.22,8.13,25949.0,94485313.0,2.23
300706,阿石创,48.88,8.12,84929.0,402849578.0,7.46
603268,松发股份,169.89,8.11,66479.0,1102286730.0,2.85
300311,任子行,6.0,8.11,934095.0,556254878.91,17.38
002980,华盛昌,74.83,8.1,101700.0,733531691.2,10.04
603002,宏昌电子,13.52,8.07,359336.0,469682392.0,3.17
688347,华虹宏力,256.0,8.04,206836.0,5158026802.0,5.07
688392,骄成超声,134.19,8.04,29136.0,380011078.0,2.52
688135,利扬芯片,23.43,8.02,100197.0,227382431.0,4.3
688257,新锐股份,55.52,8.02,154918.0,827381939.0,4.36
603256,宏和科技,135.61,8.01,164573.0,2132918862.0,1.87
301349,信德新材,41.8,8.01,39814.0,160856911.05,3.54
301236,软通动力,41.43,8.0,376800.0,1530265164.96,4.8
301285,鸿日达,70.52,7.99,21248.0,144908442.03,1.03
003031,中瓷电子,108.29,7.97,100547.0,1042764087.51,2.96
301259,艾布鲁,24.17,7.95,62102.0,146688003.96,4.28
601700,风范股份,6.39,7.94,1460139.0,909934877.0,12.82
688237,超卓航科,56.15,7.94,36926.0,204754628.0,4.12
603175,超颖电子,84.2,7.93,23551.0,192645615.0,5.18
603687,大胜达,14.32,7.91,164337.0,228926509.0,2.99
300480,光力科技,30.95,7.91,201678.0,602559940.21,7.47
300715,凯伦股份,12.96,7.91,126974.0,161713502.2,4.06
688059,华锐精密,80.88,7.9,46854.0,365727238.0,3.58
300223,北京君正,136.22,7.89,337150.0,4463565058.04,8.0
603203,快克智能,42.13,7.89,108826.0,442176253.0,3.34
688268,华特气体,138.4,7.87,61876.0,830332808.0,4.85
688652,京仪装备,138.54,7.86,60454.0,806124599.0,5.01
300489,光智科技,182.42,7.81,143702.0,2544301024.0,10.36
603124,江南新材,118.78,7.81,40703.0,462206495.0,5.24
301159,三维天地,34.39,7.81,66670.0,232968312.12,12.58
600961,株冶集团,26.23,7.81,544405.0,1401148263.0,7.24
300873,海晨股份,16.03,7.8,104575.0,163036849.73,4.47
300540,蜀道装备,28.29,7.77,91476.0,250448729.74,4.42
688361,中科飞测,342.66,7.76,90173.0,2978841611.0,2.56
688535,华海诚科,95.11,7.74,73486.0,680332754.0,5.5
688110,东芯股份,109.66,7.74,153114.0,1626568864.0,3.46
301021,英诺激光,60.54,7.72,58809.0,341701700.52,3.85
603776,永安行,20.64,7.72,53098.0,108214564.0,1.89
301629,矽电股份,240.81,7.7,8755.0,203816297.0,4.56
000636,风华高科,58.5,7.68,1414564.0,8054369572.47,12.23
301511,德福科技,73.99,7.68,188389.0,1329933142.86,5.03
688433,华曙高科,78.59,7.66,30786.0,236482930.0,0.74
600667,太极实业,18.46,7.64,2841742.0,5107058332.0,13.59
300331,苏大维格,42.72,7.63,101115.0,417984614.33,4.55
601872,招商轮船,18.06,7.63,1190680.0,2052582792.0,1.47
002222,福晶科技,56.95,7.62,229788.0,1259934758.88,4.91
300139,晓程科技,43.0,7.61,413193.0,1728797294.19,17.68
603989,艾华集团,27.46,7.6,156243.0,412627124.0,3.92
301306,西测测试,92.7,7.59,25437.0,228688315.0,4.37
002970,锐明技术,53.48,7.58,28848.0,151088538.0,2.28
688262,国芯科技,27.13,7.57,99382.0,261249742.0,2.96
688727,恒坤新材,42.7,7.56,40533.0,167058879.0,7.5
002378,章源钨业,25.21,7.55,454182.0,1110127126.71,3.8
688381,帝奥微,29.8,7.5,70669.0,203105726.0,2.86
688106,金宏气体,28.56,7.45,190577.0,528772041.0,3.56
300408,三环集团,129.99,7.45,522298.0,6614295136.3,2.79
600378,昊华科技,44.56,7.45,474476.0,2039470106.0,4.42
688788,科思科技,31.73,7.45,35350.0,108499928.0,1.61
301308,江波龙,361.05,7.44,153867.0,5387078758.87,5.46
301468,博盈特焊,33.24,7.43,56152.0,181279396.21,5.76
688312,燕麦科技,46.41,7.43,47811.0,213763241.0,3.26
688757,胜科纳米,31.43,7.42,58108.0,177000328.0,3.21
300821,东岳硅材,16.24,7.41,556136.0,874141390.48,4.64
688700,东威科技,56.02,7.4,73566.0,398190564.0,2.47
688082,盛美上海,276.01,7.4,62289.0,1671094650.0,1.3
301115,联检科技,25.9,7.38,30746.0,78439547.5,2.06
688028,沃尔德,76.97,7.35,50166.0,372085595.0,3.32
600707,彩虹股份,8.93,7.33,947790.0,819326860.0,2.64
688503,聚和材料,66.11,7.32,77782.0,499541241.0,3.21
688379,华光新材,48.52,7.32,23577.0,110777053.0,2.62
688308,欧科亿,93.33,7.31,83193.0,747062495.0,5.24
688620,安凯微,14.43,7.29,166964.0,236718493.0,4.26
002350,北京科锐,16.19,7.29,163073.0,255272927.34,3.07
002929,润建股份,57.94,7.28,198333.0,1128497861.45,9.16
603950,长源东谷,56.53,7.25,59355.0,322807434.0,1.83
301235,华康洁净,40.97,7.25,52470.0,208015933.45,5.03
688192,迪哲医药-U,53.89,7.22,96281.0,501019901.0,2.09
300440,运达科技,18.33,7.19,72123.0,128305135.0,1.64
600459,贵研铂业,20.43,7.19,337940.0,682796888.0,4.45
688249,晶合集成,39.25,7.18,247738.0,952802260.0,1.23
301488,豪恩汽电,109.43,7.14,28182.0,313597221.15,6.78
301018,申菱环境,83.57,7.14,113623.0,911028416.05,4.02
603211,晋拓股份,25.98,7.13,80376.0,202574435.0,2.96
300816,艾可蓝,51.0,7.12,16126.0,78944589.0,2.76
603757,大元泵业,59.68,7.11,98908.0,570251323.0,5.3
002371,北方华创,735.77,7.1,90676.0,6487248642.79,1.25
688003,天准科技,75.81,7.08,39155.0,287022770.0,2.01
688797,臻宝科技,322.21,7.05,35842.0,1123365385.0,12.28
002056,横店东磁,22.17,7.05,272676.0,587000578.25,1.68
300031,宝通科技,22.77,7.05,196134.0,429081744.62,5.57
603986,兆易创新,381.1,7.04,464063.0,17298622141.0,6.94
300398,飞凯材料,34.36,7.04,286643.0,956538292.41,5.06
688396,华润微,57.96,7.04,216172.0,1212222776.0,1.63
300476,胜宏科技,216.0,7.04,347905.0,7132466860.75,4.02
688181,八亿时空,37.85,7.04,48203.0,177383389.0,3.62
300521,爱司凯,23.61,7.03,32646.0,75121500.0,2.21
688079,美迪凯,14.93,7.03,108617.0,156863995.0,2.68
301003,江苏博云,49.64,7.03,15077.0,74101331.0,2.01
688686,奥普特,114.8,7.03,11003.0,123248028.0,0.9
603880,南卫股份,7.33,7.01,70627.0,50088269.0,2.44
688325,赛微微电,109.31,7.0,7802.0,82352017.0,0.95
301067,显盈科技,27.52,7.0,28752.0,77410262.6,4.5
300776,帝尔激光,112.08,7.0,74708.0,811295355.89,4.17
300936,中英科技,66.33,6.98,21391.0,137372247.0,4.51
002747,埃斯顿,34.55,6.97,660894.0,2216930864.59,8.45
600988,赤峰黄金,40.38,6.97,504187.0,1983610536.0,3.03
688525,佰维存储,232.7,6.97,261975.0,5923947212.0,5.56
605006,山东玻纤,13.81,6.97,248893.0,334027064.0,3.81
301607,富特科技,36.59,6.96,79646.0,282052025.73,5.25
603979,金诚信,76.5,6.95,63362.0,476256496.0,1.02
600330,天通股份,19.38,6.95,852587.0,1606042870.0,6.91
301398,星源卓镁,35.57,6.95,20627.0,72272867.42,1.89
600397,江钨装备,14.92,6.95,868024.0,1256320173.0,8.77
300801,泰和科技,24.17,6.95,102813.0,242073700.0,7.51
300811,铂科新材,68.15,6.94,134285.0,894203007.08,4.01
688689,银河微电,36.88,6.93,66977.0,239792789.0,4.62
688519,南亚新材,252.4,6.93,55366.0,1347624716.0,2.35
600110,诺德股份,9.42,6.92,1225631.0,1133317051.0,7.06
688593,新相微,32.12,6.92,141700.0,447081752.0,3.08
301500,飞南资源,23.53,6.91,114022.0,262634400.95,7.92
301099,雅创电子,47.44,6.89,69790.0,321050713.93,6.07
605358,立昂微,40.94,6.89,287179.0,1142912363.0,3.72
603407,长裕集团,62.2,6.89,60545.0,367611493.0,16.86
300346,南大光电,52.85,6.88,459589.0,2375207082.22,7.01
688551,科威尔,37.46,6.88,22291.0,81133553.0,2.05
301095,广立微,72.35,6.87,61019.0,427569054.0,3.53
688261,东微半导,72.47,6.87,44910.0,317101208.0,3.68
688500,慧辰股份,36.44,6.86,18451.0,65589452.0,2.46
301338,凯格精机,90.56,6.86,41115.0,357801624.32,3.79
301326,捷邦科技,87.4,6.85,14249.0,120182741.6,1.98
300321,同大股份,31.49,6.85,21831.0,67126205.0,2.46
600714,金瑞矿业,14.86,6.83,98662.0,143835324.0,3.42
000426,兴业银锡,35.55,6.82,605592.0,2094529545.33,3.41
301312,智立方,61.22,6.82,52012.0,306758960.53,6.14
301568,思泰克,63.92,6.82,26893.0,166587677.49,5.65
300996,普联软件,19.28,6.81,777047.0,1421716464.68,23.32
605060,联德股份,40.24,6.79,39967.0,157097536.0,1.67
301127,武汉天源,14.96,6.78,191608.0,280963165.79,2.93
688615,合合信息,124.15,6.77,77639.0,943194234.0,5.74
603435,嘉德利,53.21,6.76,56808.0,296729590.0,15.92
603106,恒银科技,9.65,6.75,877924.0,825911657.0,16.87
301389,隆扬电子,48.38,6.75,51713.0,241778191.1,1.82
002976,瑞玛精密,21.53,6.74,34062.0,71202152.3,2.8
688693,锴威特,65.0,6.73,17329.0,110535107.0,4.45
603929,亚翔集成,156.5,6.72,48029.0,732305747.0,2.25
300302,同有科技,30.0,6.72,218158.0,634730090.43,5.92
301362,民爆光电,122.69,6.69,36810.0,437130234.3,8.99
688368,晶丰明源,114.48,6.69,26156.0,289748973.0,2.11
000975,山金国际,24.07,6.69,517873.0,1216722121.8,2.05
603938,三孚股份,39.89,6.69,146765.0,565988520.0,3.84
001339,智微智能,76.78,6.68,123510.0,925541590.97,7.63
600489,中金黄金,23.74,6.65,757287.0,1755555583.0,1.56
603283,赛腾股份,41.85,6.65,157000.0,639575199.0,4.45
301566,达利凯普,23.76,6.64,188185.0,436072444.65,8.92
003036,泰坦股份,47.99,6.64,77051.0,358760340.15,3.56
688002,睿创微纳,150.95,6.63,75739.0,1115510311.0,1.61
603588,高能环境,13.99,6.63,426267.0,582629146.0,2.8
300726,宏达电子,52.82,6.62,120584.0,617621694.52,5.62
301191,菲菱科思,90.95,6.62,53269.0,476954569.48,7.29
002887,绿茵生态,10.49,6.61,60127.0,62101564.61,2.77
000048,京基智农,21.13,6.61,245807.0,509361318.4,4.64
301072,中捷精工,34.91,6.6,23347.0,78710814.0,3.48
301529,福赛科技,81.03,6.58,18724.0,147296891.6,2.95
301196,唯科科技,72.19,6.58,36718.0,255850056.41,3.41
603990,麦迪科技,19.14,6.57,216680.0,410586538.0,7.1
301265,华新科技,18.98,6.57,44168.0,81512160.8,1.81
600498,烽火通信,36.72,6.56,687316.0,2425656292.0,5.41
600552,凯盛科技,17.06,6.56,516957.0,858939609.0,5.47
601133,柏诚股份,24.71,6.55,95706.0,228858401.0,1.83
603690,至纯科技,23.27,6.55,441206.0,997358809.0,11.52
300136,信维通信,63.45,6.55,450571.0,2775280985.51,5.46
688168,安博通,35.28,6.55,38648.0,133522268.0,3.58
688105,诺唯赞,19.67,6.55,107064.0,207645836.0,2.07
688428,诺诚健华,27.02,6.55,79192.0,210981210.0,2.9
300054,鼎龙股份,74.63,6.54,312026.0,2271828938.64,4.19
300475,香农芯创,151.5,6.54,220386.0,3257411548.39,4.9
688112,鼎阳科技,50.92,6.53,13948.0,68839650.0,0.87
603118,共进股份,14.52,6.53,1210951.0,1743659440.0,15.38
688337,普源精电,43.08,6.53,34620.0,144607791.0,1.86
002837,英维克,52.66,6.53,356143.0,1815837126.61,3.15
600246,万通发展,11.74,6.53,933255.0,1066493070.0,4.94
688120,华海清科,242.97,6.51,136217.0,3196708299.0,2.74
300863,卡倍亿,37.01,6.5,64732.0,233523082.13,2.58
300860,锋尚文化,26.38,6.5,35148.0,91310831.02,3.21
688380,中微半导,39.05,6.49,101392.0,387506343.0,2.53
688702,盛科通信-U,359.89,6.48,83430.0,2969719885.0,4.11
301310,鑫宏业,54.11,6.47,57997.0,308244028.94,9.51
605228,神通科技,11.21,6.46,90061.0,99145958.0,1.89
002138,顺络电子,50.28,6.46,391610.0,1888163495.92,5.11
688138,清溢光电,30.98,6.46,64136.0,193258413.0,2.04
688216,气派科技,28.89,6.45,38817.0,108904186.0,3.65
300283,温州宏丰,14.35,6.45,260480.0,362523632.4,7.09
688035,德邦科技,59.98,6.44,32722.0,190455089.0,2.3
603316,诚邦股份,13.57,6.43,103021.0,136737411.0,3.9
002943,宇晶股份,30.96,6.43,68510.0,209758404.12,3.63
