date,open,high,low,close,volume,amount
2025-03-31,1489.38,1495.01,1469.67,1470.56,2108494.0,3311857714.0
2025-04-01,1473.39,1478.93,1462.28,1465.87,1855644.0,2893739955.0
2025-04-02,1467.73,1476.96,1455.96,1459.27,2167401.0,3371883024.0
2025-04-03,1441.35,1494.11,1440.42,1477.98,3548050.0,5557442052.0
2025-04-07,1431.94,1447.81,1377.29,1413.09,10195267.0,15314738235.0
2025-04-08,1425.34,1455.49,1408.38,1455.49,7387649.0,11226977557.0
2025-04-09,1436.66,1466.6,1432.45,1451.76,5563004.0,8562928225.0
2025-04-10,1461.13,1464.91,1439.47,1459.25,3862021.0,5963650791.0
2025-04-11,1488.43,1488.43,1455.49,1478.08,3263423.0,5087359924.0
2025-04-14,1470.53,1475.27,1461.64,1462.07,2171144.0,3379425640.0
2025-04-15,1462.08,1474.33,1455.49,1467.73,2148928.0,3339942729.0
2025-04-16,1462.08,1484.69,1447.95,1468.83,3115605.0,4834880596.0
2025-04-17,1463.96,1485.16,1460.19,1479.04,2384605.0,3733924973.0
2025-04-18,1475.27,1483.75,1465.85,1475.21,2029848.0,3179974340.0
2025-04-21,1474.8,1474.8,1461.14,1461.14,1805703.0,2808158177.0
2025-04-22,1460.2,1466.13,1453.8,1459.07,1843214.0,2857525967.0
2025-04-23,1468.67,1468.88,1455.49,1462.08,1866876.0,2895468892.0
2025-04-24,1462.08,1470.26,1459.24,1462.32,1487181.0,2313372072.0
2025-04-25,1466.88,1470.75,1460.2,1460.2,1476490.0,2295029705.0
2025-04-28,1462.08,1464.91,1456.99,1460.2,1465972.0,2274252465.0
2025-04-29,1460.2,1462.59,1443.26,1454.54,1892180.0,2917422938.0
2025-04-30,1460.19,1475.89,1456.71,1457.37,2575425.0,4005439429.0
2025-05-06,1468.67,1468.67,1454.85,1460.38,1830026.0,2838614215.0
2025-05-07,1479.04,1479.04,1460.38,1464.91,2746221.0,4275142569.0
2025-05-08,1463.02,1500.5,1460.04,1486.75,3348106.0,5265446444.0
2025-05-09,1487.51,1504.9,1483.79,1498.99,2367190.0,3757574546.0
2025-05-12,1505.42,1525.13,1504.11,1511.54,2473533.0,3967785800.0
2025-05-13,1515.7,1515.7,1493.27,1498.16,2125829.0,3386617848.0
2025-05-14,1497.88,1549.69,1496.16,1540.26,3946012.0,6394735058.0
2025-05-15,1540.08,1548.36,1530.03,1537.45,2473285.0,4043402636.0
2025-05-16,1539.32,1542.15,1520.61,1520.61,2293522.0,3714508659.0
2025-05-19,1503.53,1507.3,1482.69,1487.5,3806283.0,6021950010.0
2025-05-20,1488.46,1502.4,1483.84,1494.11,1952153.0,3095742637.0
2025-05-21,1493.17,1503.47,1489.37,1489.37,1979464.0,3143941416.0
2025-05-22,1489.39,1493.16,1479.13,1488.46,1509024.0,2381236586.0
2025-05-23,1483.94,1495.9,1480.6,1481.49,2153700.0,3399424961.0
2025-05-26,1479.04,1483.4,1455.49,1460.67,2708653.0,4212944430.0
2025-05-27,1461.14,1468.3,1454.08,1454.45,1775213.0,2748945675.0
2025-05-28,1454.53,1456.86,1444.18,1447.95,1626568.0,2504624605.0
